14.14,79.55,68.01,-17.66,-16.87,6.87,-18.62
47.48,62.14,-37.78,57.61,8.69,-35.13,-10.82
42.77,-17.73,-5.36,12.13,-26.90,-12.02,0.04
-10.63,72.21,79.49,54.39,-34.72,2.36,75.24
7.93,1.33,65.26,-19.36,0.18,52.48,64.08
19.19,51.01,0.21,-0.87,72.33,-30.17,26.05
40.39,44.83,70.03,-9.29,-30.46,14.99,45.92
-12.42,-36.07,55.34,-0.98,-38.26,33.35,70.43
-25.11,-9.55,-3.41,-34.98,-24.66,-29.93,-38.46
-10.15,-17.25,30.03,64.69,69.87,37.86,-22.67
28.10,61.84,-5.03,37.88,42.84,56.76,6.98
-10.93,-21.84,-36.54,55.18,57.12,-9.88,-32.68
-24.57,-0.55,-0.47,28.60,12.63,49.96,55.81
58.32,-8.09,-37.21,-11.09,47.75,32.60,72.39
-10.18,25.00,42.45,49.68,66.82,-13.99,10.60
9.95,4.70,-26.68,10.26,-32.80,-11.97,-32.54
-4.61,75.88,14.07,80.19,53.70,-35.63,-13.97
-8.12,60.02,-10.92,13.01,42.30,6.22,50.43
28.65,-13.18,64.17,-21.15,-3.09,-29.05,19.94
13.25,21.22,50.49,40.73,74.71,19.06,55.58
